Product,Category,N_products,Total,Percentage,Fixed,Repairable,End of Life,Fixed Cnt,Repairable Cnt,End of Life Cnt
Vacuum - Model 1,Vacuum,103,3,0.0%,52.2%,9.1%,38.7%,2,0,1
Vacuum - Model 2,Vacuum,103,31,0.0%,61.4%,17.1%,21.5%,19,5,7
Vacuum - Model 3,Vacuum,103,16,0.0%,67.7%,11.7%,20.6%,11,2,3
Vacuum - Model 4,Vacuum,103,133,0.0%,49.8%,9.2%,41.0%,66,12,55
Vacuum - Model 5,Vacuum,103,21,0.0%,48.8%,19.0%,32.3%,10,4,7
Vacuum - Model 6,Vacuum,103,64,0.0%,56.2%,6.6%,37.2%,36,4,24
Vacuum - Model 7,Vacuum,103,37,0.0%,50.2%,11.2%,38.7%,19,4,14
Vacuum - Model 8,Vacuum,103,20,0.0%,67.9%,22.8%,9.3%,14,5,1
Vacuum - Model 9,Vacuum,103,0,0.0%,45.9%,29.9%,24.1%,0,0,0
Vacuum - Model 10,Vacuum,103,93,0.0%,50.7%,29.4%,19.9%,47,27,19
Vacuum - Model 11,Vacuum,103,27,0.0%,56.4%,5.8%,37.7%,15,2,10
Vacuum - Model 12,Vacuum,103,16,0.0%,53.8%,20.9%,25.3%,9,3,4
Vacuum - Model 13,Vacuum,103,1,0.0%,67.2%,18.3%,14.5%,1,0,0
Vacuum - Model 14,Vacuum,103,9,0.0%,57.9%,18.8%,23.3%,5,2,2
Vacuum - Model 15,Vacuum,103,9,0.0%,63.7%,7.0%,29.3%,6,1,2
Vacuum - Model 16,Vacuum,103,38,0.0%,54.8%,11.1%,34.2%,21,4,13
Vacuum - Model 17,Vacuum,103,31,0.0%,72.1%,16.8%,11.1%,22,5,4
Vacuum - Model 18,Vacuum,103,58,0.0%,79.3%,15.0%,5.7%,46,9,3
Vacuum - Model 19,Vacuum,103,6,0.0%,72.7%,25.0%,2.4%,4,1,1
Vacuum - Model 20,Vacuum,103,16,0.0%,46.0%,17.7%,36.3%,7,3,6
Vacuum - Model 21,Vacuum,103,7,0.0%,67.8%,26.5%,5.7%,5,2,0
Vacuum - Model 22,Vacuum,103,46,0.0%,53.0%,10.5%,36.5%,24,5,17
Vacuum - Model 23,Vacuum,103,18,0.0%,68.4%,25.2%,6.3%,12,5,1
Vacuum - Model 24,Vacuum,103,8,0.0%,53.9%,7.4%,38.6%,4,1,3
Vacuum - Model 25,Vacuum,103,27,0.0%,77.6%,14.9%,7.4%,21,4,2
Vacuum - Model 26,Vacuum,103,1,0.0%,60.7%,25.9%,13.3%,1,0,0
Vacuum - Model 27,Vacuum,103,60,0.0%,67.0%,23.4%,9.6%,40,14,6
Vacuum - Model 28,Vacuum,103,20,0.0%,48.4%,18.5%,33.1%,10,4,6
Vacuum - Model 29,Vacuum,103,16,0.0%,67.8%,10.7%,21.5%,11,2,3
Vacuum - Model 30,Vacuum,103,85,0.0%,47.0%,29.6%,23.4%,40,25,20
Vacuum - Model 31,Vacuum,103,42,0.0%,60.7%,11.5%,27.8%,25,5,12
Vacuum - Model 32,Vacuum,103,13,0.0%,75.4%,24.6%,0.0%,10,3,0
Vacuum - Model 33,Vacuum,103,28,0.0%,62.3%,27.1%,10.6%,17,8,3
Vacuum - Model 34,Vacuum,103,24,0.0%,47.5%,12.0%,40.5%,11,3,10
Vacuum - Model 35,Vacuum,103,106,0.0%,68.0%,26.2%,5.8%,72,28,6
Vacuum - Model 36,Vacuum,103,61,0.0%,74.3%,15.1%,10.6%,45,9,7
Vacuum - Model 37,Vacuum,103,45,0.0%,74.6%,25.4%,0.0%,34,11,0
Vacuum - Model 38,Vacuum,103,25,0.0%,76.4%,23.6%,0.0%,19,6,0
Vacuum - Model 39,Vacuum,103,29,0.0%,66.8%,19.5%,13.7%,19,6,4
Vacuum - Model 40,Vacuum,103,110,0.0%,54.9%,28.5%,16.6%,60,31,19
Vacuum - Model 41,Vacuum,103,30,0.0%,78.9%,12.1%,9.0%,24,4,2
Vacuum - Model 42,Vacuum,103,11,0.0%,52.2%,17.1%,30.6%,6,2,3
Vacuum - Model 43,Vacuum,103,11,0.0%,57.9%,29.9%,12.2%,6,3,2
Vacuum - Model 44,Vacuum,103,6,0.0%,47.0%,5.5%,47.5%,3,0,3
Vacuum - Model 45,Vacuum,103,1,0.0%,59.8%,9.5%,30.8%,1,0,0
Vacuum - Model 46,Vacuum,103,18,0.0%,54.7%,23.6%,21.7%,10,4,4
Vacuum - Model 47,Vacuum,103,16,0.0%,68.8%,12.7%,18.5%,11,2,3
Vacuum - Model 48,Vacuum,103,11,0.0%,61.7%,17.7%,20.6%,7,2,2
Vacuum - Model 49,Vacuum,103,0,0.0%,65.5%,11.3%,23.3%,0,0,0
Vacuum - Model 50,Vacuum,103,7,0.0%,63.6%,29.5%,6.9%,4,2,1
Vacuum - Model 51,Vacuum,103,41,0.0%,59.5%,27.7%,12.9%,24,11,6
Vacuum - Model 52,Vacuum,103,51,0.0%,57.4%,13.8%,28.9%,29,7,15
Vacuum - Model 53,Vacuum,103,30,0.0%,65.8%,21.7%,12.5%,20,7,3
Vacuum - Model 54,Vacuum,103,85,0.0%,74.6%,10.8%,14.7%,63,9,13
Vacuum - Model 55,Vacuum,103,34,0.0%,60.0%,19.3%,20.7%,20,7,7
Vacuum - Model 56,Vacuum,103,80,0.0%,70.7%,6.1%,23.2%,57,5,18
Vacuum - Model 57,Vacuum,103,62,0.0%,79.8%,16.7%,3.5%,49,10,3
Vacuum - Model 58,Vacuum,103,19,0.0%,51.2%,27.1%,21.7%,10,5,4
